Valores de variáveis;;;;;
Nome;Descrição;Nível de medição;Catergoria;Descrição da categoria;Tamanho
P5_hora;Considerando o final de semana, quantas horas por dia o(a) sr(a) costuma assistir TV? (Espontânea);Numérica;9991;Não se aplica;4
;;;9997;Não vê TV aos finais de semana;
;;;9998;Não sabe;
;;;9999;Não respondeu;
P5_minuto;Considerando o final de semana, quantos minutos por dia o(a) sr(a) costuma assistir TV?;Numérica;9991;Não se aplica;4
;;;9997;Não vê TV aos finais de semana;
;;;9998;Não sabe;
;;;9999;Não respondeu;
P5;Considerando o final de semana, quanto tempo por dia o(a) sr(a) costuma assistir TV? (Minutos);Numérica;9991;Não se aplica;4
;;;9997;Não vê TV de segunda a sexta-feira;
;;;9998;Não sabe;
;;;9999;Não respondeu;
P601;Qual emissora de TV aberta ou paga o(a) sr(a) mais assiste? (Espontânea - 1º lugar);;501;Globo;8
;;;502;Record;
;;;503;SBT;
;;;504;TV Canção Nova;
;;;505;Band;
;;;506;Rede TV! (SC);
;;;509;CNT;
;;;524;RIC TV (PR);
;;;1100;Rede Brasil Norte;
;;;1101;TV Allamanda (SBT);
;;;1102;TV Ariquemes (Globo);
;;;1103;TV Cacoal (Globo);
;;;1104;TV Candelária (Record);
;;;1107;TV Guajará-Mirim (Globo);
;;;1108;TV Jaru;
;;;1109;TV Ji-Paraná (Globo);
;;;1110;TV Madeira-Mamoré;
;;;1111;TV Meridional (Band);
;;;1112;TV Rondônia (Globo);
;;;1113;TV Vilhena (Globo);
;;;1200;Rede Século 21;
;;;1201;RIT;
;;;1202;Amazon Sat (AC);
;;;1203;Cultura ;
;;;1204;RBTV (AC);
;;;1205;RRC TV (SBT);
;;;1206;TV 40 (Boas Novas);
;;;1207;TV 5 (Band);
;;;1208;TV 50 (Rede Super);
;;;1209;TV Acre;
;;;1210;TV Acre (Globo);
;;;1211;TV Aldeia (AC);
;;;1212;TV Aldeia (TV Cultura);
;;;1213;TV Cruzeiro do Sul;
;;;1215;Gazeta/ Rede Gazeta;
;;;1216;Integração;
;;;1217;TV Juruá (SBT);
;;;1218;TV Nazaré;
;;;1219;TV Rio Branco;
;;;1220;TV Rio Branco (SBT);
;;;1221;TV União Rio Branco;
;;;1222;TV Xapuri (TV Rio Branco/SBT);
;;;1223;TV 5;
;;;1224;Rede Família;
;;;1300; TV Seis Lagos (SBT);
;;;1301;Amazon Sat (AM);
;;;1302;AMTV+ (Ideal TV);
;;;1304;CEGRASA (TV Em Tempo e SBT);
;;;1305;Central de Emissões, Gravações e Repetidoras Ajuricaba;
